Bad-ID,Badtyp,Name,Straße,Postleitzahl,Ort,Ansprechpartner,Telefon,E-Mail-Adresse,Webseite,Gemeindekennzahl,Längengrad,Breitengrad,"Ganzjährig geöffnet","Beginn der Sommerzeit","Ende der Sommerzeit","Beginn der Winterzeit","Ende der Winterzeit",Baujahr,"Baukosten bei Fertigstellung","Währung der Baukosten","Baukosten heute (Euro)",Eigentümer,"Name des Eigentümers",Betreiber,"Name des Betreibers",Eigentümer-Risiko,Betreiber-Risiko,Besucher,"Eintritt Erwachsene","Ermäßigung Kind","Ermäßigung Familie","Ermäßigung Behinderte","Ermäßigung Senioren",Frühtarif,Abendtarif,Schulsport,"ÖPNV Strecke","ÖPNV <500m","PKW Parkplätze","Fahrrad Parkplätze","Behinderten Parkplätze",E-Ladestationen,"Gegenstrom Anlage",Schwimmwanderkanal,"10m Sprungturm","7,5m Sprungturm","5m Sprungturm","3m Sprungturm","3m Sprungbrett","1m Sprungbrett",Großrutsche,Kinderrutsche,"Separates Rutschbecken",Restaurant,Bistro,Essensautomat,"Bewirtung für Badegäste","Bewirtung öffentlich","Sportangebot an Land","Fläche Umkleide","Anzahl Sammelumkleiden","Anzahl Einzelumkleiden","Anzahl Spinde","Rollstuhl Stellplätze","Unterfahrbarer Waschtisch","Breite Liegen","Extra große Spinde","Barrierefreiheit Sonstiges","Kursraum ohne Geräte","Ausstattung Kursraum","Kursraum mit Geräten","Geräte Kursraum","Liegewiese Größe","Spielfläche Größe",einrichtung_spielflaeche,"Spielplatz Größe","Spielplatz Geräte","Beachfeld Größe",FKK-Fläche,"Installierte Fitnessgeräte","Sonstige Freiflächen","Sauna Fläche","Anzahl Saunen","Anzahl Solarien","Anzahl Massagen",Poollifter,"Barrierefreie Rutsche","Wasserabwesender Rollstuhl","Breite Gänge","Taktiles Leitsystem","Optische und akustische Anzeigen","Manuelles Kassensystem","Automatisches Kassensystem","Anlage dauerhaft geschlossen","Schließung Begründung","Anlage temporär geschlossen",Schließdatum,"Einschränkung Schwimmbetrieb","Einschränkungen Beschreibung","Einschränkung Funktion","Einschränkungen Funktion Beschreibung",WLAN,"Öffentliches Wlan",Mobilfunkstandard,"Badebetrieb neben Wettkampf","Energieeffiziente Maßnahmen","Zusätzliche Angebote","Nutzung durch Vereine","Nutzung durch Schulen","Nutzung durch Bürger","Nutzung durch Firmen","Nutzung durch VHS","Kommerzielle Nutzung","Sonstige Nutzer","Anteil Vereine","Anteil Schulen","Anteil Bürger","Anteil Firmen","Anteil VHS","Anteil Kommerzielle Nutzung","Anteil Sonstige Nutzer",Stundentarif,"Sonstige Tarife","Sonstige Sprungbretter",Startblöcke,"Anzahl Startblöcke",Kommentar,Öffnungsdatum,"Wettkampftauglichkeit Schwimmen","Wettkampftauglichkeit Wasserball","Wettkampftauglichkeit Springen","Wettkampftauglichkeit Rettungsschwimmen","Wettkampftauglichkeit Synchronschwimmen","Wettkampftauglichkeit Tauchen","Badpate vorhanden",Erweiterungen,Sanierungen,Förderungen
25,Freibad,"Schwimmbad Albbruck","Badstraße 12",79774,Albbruck,"Sebastian Gleichauf","07753 2907",schwimmbad@albbruck.de,www.albbruck.de,08337002,8.13845,47.59776,nein,Mai,September,,,,,,,,"Gemeinde Albbruck",,"Bürgermeisteramt Albbruck",,,,3.5,ja,ja,,,ja,ja,,,nein,,,,,,,,,ja,ja,,ja,ja,,,ja,ja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nein,,nein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nein,,,
27,Kombibad,"BADKAP Albstadt","Beibruck 1",72458,Albstadt,,"07431 981470",info@badkap.de,www.badkap.de/baden-spass/uebersicht,08417079,8.97742,48.21499,ja,,,,,,,,,,,,,,,,15.9,ja,ja,ja,ja,ja,ja,nein,,,,,,,,,,,,,,,ja,ja,ja,ja,ja,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,,,,,,,,,,nein,,nein,,,,,,,,,,,,,,,,,,,,,,,,,,ja,,,,,,,,,,,,,nein,,,
28,Hallenbad,"Hallenbad Ebingen","Grüngrabenstraße 20",72458,Albstadt,,"07431 1603923",info@albstadtwerke.de,www.albstadtwerke.de/baeder/hallenbad-ebingen/,08417079,9.02793,48.21396,ja,,,,,,,,,Stadtwerke,Albstadtwerke,Stadtwerke,Albstadtwerke,,,,6,ja,nein,ja,nein,nein,nein,nein,,,,,,,ja,,,,ja,ja,ja,ja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,nein,,nein,,,,,,,,,,,,,ja,,,,,,,,,,,,,nein,,,ja,,,,,,,,,,nein,,,
32,Freibad,"Waldfreibad Allmendingen","Schwimmbadweg 32",89604,Allmendingen,,"07391 5580",,www.allmendingen.de/wp/?page_id=2095,08425002,9.71292,48.33011,nein,Mai,September,,,,,,,,"Gemeinde Allmendinger",,,,,,2.7,ja,nein,ja,ja,nein,ja,nein,,,,,,,,,,,,ja,ja,ja,,,,,ja,,,,Minigolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nein,,nein,,,,,,,,,,,,,,,,,,,,,,,,,,ja,,,,,,,,,,,,,nein,,,
33,Freibad,"Freibad Alpirsbach","Rötenberger Str. 94",72275,Alpirsbach,,"07444 3199",vorstand@freibad-alpirsbach.de,www.freibad-alpirsbach.de/freibad-alpirsbach-infos/oeffnungszeiten-freibad-alpirsbach.html,08237002,8.409510,48.32975,nein,Juni,September,,,,,,,"Gemeinde oder Stadt",Alpirsbach,Verein,"Förderverein Freibad Alpirsbach e.V.",,,,3,ja,ja,ja,nein,ja,nein,,,,,,,,,,,,,,,ja,,ja,,,ja,,,,"Tennis, Tischtennis, Beachvolleyball, Minigolf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nein,,nein,,,,,,,,,,,,,,,,,,,,,,,,,,nein,,,,,,,,,,,,,nein,,,
37,Freibad,"Freibad Hangeweiher","Am Hangeweiher 32",52074,Aachen,,"0241 72788",,www.aachen.de/DE/kultur_freizeit/sport/schwimmbaeder/400_hangeweiher.html,05334002,6.07109,50.75982,nein,Mai,September,,,,,,,"Gemeinde oder Stadt","Stadt Aachen","Gemeinde oder Stadt",Aachen,,,,3.5,ja,nein,ja,nein,nein,nein,nein,,,,,,,nein,nein,nein,nein,ja,nein,ja,ja,nein,ja,nein,,ja,,ja,nein,,,2,,,,,,,,,,,,,,,,,,,,,,,,,nein,,,,,,,,nein,,nein,,,,,,nein,nein,"3G (UMTS)",,,,,,ja,,,,,,,,,,,,nein,Studierende,,ja,8,,,,,,,,,ja,,,
38,Freizeitbad,"Carolus Thermen","Stadtgarten / Passstraße 79",52070,Aachen,,"0241 182740",mail@carolus-thermen.de,www.carolus-thermen.de,05334002,6.09747,50.78301,ja,,,,,,,,,Genossenschaften,"Kur- und Badegesellschaft mbH",Genossenschaften,"Kur- und Badegesellschaft mbH",,,,14,nein,nein,nein,nein,nein,nein,nein,,,,,,,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,ja,ja,,ja,ja,,,,,,,,,,,,,,,,,,,,,,,,,8,0,,,,,,,,,,nein,,nein,,,,,,,,,,,,,,ja,,,,,,,,,,,,ja,,,nein,,,,,,,,,,nein,,,
39,Hallenbad,"Schwimmhalle Süd Aachen",Amyastraße,52066,Aachen,,"0241 61528",,www.aachen.de/DE/kultur_freizeit/sport/schwimmbaeder/700_schwimmhalle_sued.html,05334002,6.08765,50.76053,ja,,,,,,,,,"Gemeinde oder Stadt","Stadt Aachen","Gemeinde oder Stadt","Stadt Aachen",,,,3.5,ja,nein,ja,nein,nein,nein,nein,160,ja,,,,,nein,nein,nein,nein,nein,ja,nein,ja,nein,nein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ja,,nein,,nein,,nein,,nein,,,,,,,,ja,ja,ja,,,,,,,,,,,,nein,Studierende,,ja,12,,,,,,,,,ja,,,
40,Hallenbad,Elisabethhalle,"Elisabethstraße 10",52062,Aachen,,"0241 4325216",,www.aachen.de/DE/kultur_freizeit/sport/schwimmbaeder/800_elisabethhalle.html,05334002,6.085480,50.77332,ja,,,,,1911,,,,"Gemeinde oder Stadt","Stadt Aachen","Gemeinde oder Stadt","Stadt Aachen",,,,3.5,ja,nein,ja,nein,nein,nein,nein,150,ja,,8,,,nein,nein,nein,nein,nein,nein,nein,ja,nein,nein,,nein,nein,nein,nein,nein,,,,80,,,,,,,,,,,,,,,,,,,,,,,,nein,,,,,,,,nein,,nein,,,,,,nein,nein,,,,,,ja,ja,,,,,,,,,,,,nein,,,nein,,,,,,,,,,ja,,,
41,Hallenbad,Ulla-Klinger-Halle,Kronenberg,52074,Aachen,,"0241 76861",,www.aachen.de/DE/kultur_freizeit/sport/schwimmbaeder/500_schwimmhalle_ulla_klinger.html,05334002,6.05783,50.76781,ja,,,,,,,,,"Gemeinde oder Stadt","Stadt Aachen","Gemeinde oder Stadt","Stadt Aachen",,,,3.5,ja,nein,ja,nein,nein,nein,nein,400,ja,,16,,,nein,nein,ja,ja,ja,ja,ja,ja,nein,ja,nein,nein,nein,,nein,nein,,,,,,,,,,,ja,Gymnastikhalle,ja,Krafttrainingsräume,,,,,,,,,,,,,,,,,,,,ja,,nein,,nein,,,,,,nein,nein,,,,Trockensprunganlage,ja,ja,ja,,,,Hochschulsport,,,,,,,,nein,"Studierende, Azubis","1m Plattform",ja,5,,,,,,,,,ja,,,
42,Hallenbad,"Schwimmhalle Ost Aachen","St. Josefsplatz 8",52068,Aachen,,"0241 9039191",info@osthalle.de,www.osthalle.de,05334002,6.10925,50.77463,ja,,,,,,,,,"Gemeinde oder Stadt","Aachener Bad & Sport gGmbH","Gemeinde oder Stadt","Aachener Bad & Sport gGmbH",,,,3.5,ja,nein,ja,nein,nein,nein,nein,,,,,,,nein,nein,nein,nein,nein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nein,,nein,,,,,,,,,,,,ja,ja,ja,,,,,,,,,,,,nein,,,ja,,,,,,,,,,nein,,,
43,Hallenbad,"Schwimmhalle Brand","Wolferskaul 19 A",52078,Aachen,,"0241 520323",,www.aachen.de/DE/kultur_freizeit/sport/schwimmbaeder/600_schwimmhalle_brand.html,05334002,6.15715,50.74672,ja,,,,,,,,,"Gemeinde oder Stadt","Stadt Aachen","Gemeinde oder Stadt","Stadt Aachen",,,,3.5,ja,nein,ja,nein,nein,nein,nein,,,,,,,nein,nein,nein,nein,nein,ja,nein,ja,nein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nein,,nein,,,,,,,,,,,,ja,ja,ja,,,,,,,,,,,,nein,,,ja,,,,,,,,,,nein,,,
44,Kombibad,AquAHAUS,"Unterortwick 32",48683,Ahaus,,"02561 82299",info@aquahaus.eu,www.aquahaus.eu,05554004,6.9827,52.07752,ja,Mai,September,September,Mai,,,,,,,Genossenschaften,"Ahauser Energie- und Dienstleistungsgesellschaft mbH",,,,5.1,ja,ja,nein,nein,nein,nein,nein,,,,,,,nein,ja,nein,nein,nein,ja,nein,ja,ja,ja,nein,nein,ja,,ja,nein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nein,,nein,,,,,,,,,,,,,,ja,,,,,,,,,,,,nein,,,,,,,,,,,,,nein,,,
45,Freibad,"Freibad Alstätte","Runder Berg 1",48683,Ahaus-Alstätte,,,,www.aquahaus.eu,05554004,6.91179,52.13170,nein,Mai,,,,,,,,,,Genossenschaften,"Ahauser Energie- und Dienstleistungsgesellschaft mbH",,,,5.1,ja,ja,nein,nein,nein,nein,nein,,,,,,,nein,nein,nein,nein,nein,ja,nein,ja,ja,ja,nein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nein,,nein,,,,,,,,,,,,,,ja,,,,,,,,,,,,nein,,,ja,4,,,,,,,,,nein,,,
46,Freibad,"Freibad Ahlen","Bürgermeister-Corneli-Ring 46",59227,Ahlen,,"02382 788248",info@stadtwerke-ahlen.de,www.baedergesellschaft-ahlen.de,05570004,7.88983,51.77456,nein,,,,,,,,,Genossenschaften,"Bädergesellschaft Ahlen mbH",Genossenschaften,"Bädergesellschaft Ahlen mbH",,,,4,ja,nein,nein,nein,nein,ja,nein,,,,,,,nein,ja,nein,nein,ja,ja,ja,ja,ja,ja,nein,,ja,,ja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nein,,nein,,,,,,,,,,,,,,ja,,,,,,,,,,,,nein,,,ja,16,,,,,,,,,nein,,,
47,Hallenbad,"Parkbad Ahlen","Dolberger Straße 66",59229,Ahlen,,"02382 788249",info@stadtwerke-ahlen.de,,05570004,7.89543,51.75566,ja,,,,,,,,,Genossenschaften,"Bädergesellschaft Ahlen mbH",Genossenschaften,"Bädergesellschaft Ahlen mbH",,,,4,ja,nein,nein,nein,nein,nein,nein,,,,,,,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,,,ja,,ja,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,nein,,nein,,,,,,,,,,,,ja,ja,ja,,,,,,,,,,,,nein,,,ja,6,,,,,,,,,nein,,,
48,Hallenbad,"Luisenbad Alsdorf",Luisenstraße,52477,Alsdorf,,"02404 9131021",ingrid.weirauch@alsdorf.de,www.alsdorf.de/web/cms/front_content.php?idcat=497,05334004,6.16522,50.87336,ja,,,,,,,,,"Gemeinde oder Stadt",Alsdorf,"Gemeinde oder Stadt",Alsdorf,,,,4,ja,ja,ja,nein,nein,nein,nein,,,,,,,nein,nein,nein,nein,nein,ja,nein,ja,nein,nein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,nein,,nein,,,,,,,,,,,,ja,ja,ja,,,,,,,,,,,,nein,,,ja,5,,,,,,,,,nein,,,
49,Kombibad,"Frei- und Hallenbad Dahle","Mondhahnstraße 1",58762,"Altena (Westf.)",,"02352 71121",info@baederbetrieb-altena.de,www.altenaer-baeder.de,05962004,7.75209,51.29801,ja,,,,,,,,,"Gemeinde oder Stadt","Stadt Altena",Stadtwerke,"Bäderbetrieb der Stadt Altena (Westf.)",,,,3,ja,nein,ja,nein,nein,nein,nein,,,,,,,nein,nein,nein,nein,nein,nein,nein,nein,ja,,ja,,ja,,ja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nein,,nein,,,,,,,,,,,,ja,ja,ja,,,,,,,,,,,,nein,,,ja,,,,,,,,,,nein,,,
50,Hallenbad,"Hallenbad Altenberge","Gooiker Platz 2",48341,Altenberge,"Herr Florian Kleymann","02505 2200",hallenbad@altenberge.de,www.altenberge.de/de/hallenbad,05566004,7.46708,52.04955,ja,,,,,1976,,D-Mark,,Kreis,"Gemeinde Altenberge",Kreis,"Gemeinde Altenberge",,,,2.5,ja,nein,ja,nein,nein,nein,nein,,,,,,,nein,nein,nein,nein,nein,nein,nein,nein,nein,ja,ja,nein,nein,ja,nein,nein,,,2,,,,,nein,,,nein,,nein,,,,,,,,,,,,,,,nein,nein,,ja,nein,nein,nein,ja,nein,,nein,,ja,"Aufgrund der verschärften Lage in Bezug auf die Corona-Pandemie ist das Hallenbad ab 02.11.2020 bis auf Weiteres geschlossen.",nein,,nein,nein,"4G (LTE)",nein,,,ja,ja,ja,,ja,,,,,,,,,,nein,"25% Vergünstigung auf Mehrfachkarten im Hallenbad als Inhaberin oder Inhaber der Ehrenamtskarte NRW",,ja,3,,,,,,,,,nein,,,
51,Freibad,"Waldfreibad Anröchte","Südring 14",59609,Anröchte,,"02947 3866",,www.anroechte.de/kultur-freizeit/baeder/waldfreibad-anroechte/,05974004,8.31863,51.54696,nein,Mai,,,,,,,,Kreis,"Gemeinde Anröchte",Kreis,"Gemeinde Anröchte",,,,4,ja,nein,ja,nein,nein,nein,nein,,,,,,,nein,nein,nein,nein,ja,nein,ja,ja,ja,,nein,,ja,,ja,ja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nein,,nein,,,,,,,,,,,,,,ja,,,,,,,,,,,,nein,,,ja,6,,,,,,,,,nein,,,
52,Freizeitbad,"NASS-Freizeitbad Arnsberg","Am Solepark 15",59759,Arnsberg,,"02932 475730",info@nass-arnsberg.de,www.nass-arnsberg.de,05958004,8.00514,51.43283,ja,,,,,,,,,Genossenschaften,"NASS - Neues Freizeitbad Arnsberg GmbH",Genossenschaften,"NASS - Neues Freizeitbad Arnsberg GmbH",,,,8.5,ja,ja,ja,nein,ja,nein,nein,,,,,,,nein,ja,nein,nein,nein,ja,nein,ja,ja,,ja,,ja,,ja,ja,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,nein,,nein,,,,,,,,,,,,ja,ja,ja,,,,,,,,,,,,ja,,,ja,,,,,,,,,,nein,,,
